fold,test_groups,arima_order,garch_order,aic,bic
1,"(0, 1)","(0, 0, 0)","(1, 1)",-1166289.4468255737,-1166250.9421661315
2,"(0, 2)","(0, 0, 0)","(1, 1)",-1162305.570666245,-1162267.0865972557
3,"(0, 3)","(0, 0, 0)","(1, 1)",-1165530.4245019748,-1165491.940397084
4,"(0, 4)","(0, 0, 0)","(1, 1)",-1163053.8147669716,-1163015.3306620808
5,"(0, 5)","(0, 0, 0)","(1, 1)",-1147434.4524663596,-1147395.9580709902
6,"(1, 2)","(0, 0, 0)","(1, 1)",-1156073.86363612,-1156035.36927656
7,"(1, 3)","(0, 0, 0)","(1, 1)",-1152977.7857660453,-1152939.312014169
8,"(1, 4)","(0, 0, 0)","(1, 1)",-1150699.8301328185,-1150661.3563809423
9,"(1, 5)","(0, 0, 0)","(1, 1)",-1135867.7870328643,-1135829.302963875
10,"(2, 3)","(0, 0, 0)","(1, 1)",-1161586.07550024,-1161547.5811048707
11,"(2, 4)","(0, 0, 0)","(1, 1)",-1152727.4299355685,-1152688.9561836922
12,"(2, 5)","(0, 0, 0)","(1, 1)",-1137733.8809675933,-1137695.396898604
13,"(3, 4)","(0, 0, 0)","(1, 1)",-1161968.2556964033,-1161929.7612652248
14,"(3, 5)","(0, 0, 0)","(1, 1)",-1140580.2730083186,-1140541.7889034278
15,"(4, 5)","(0, 0, 0)","(1, 1)",-1144834.4155252066,-1144795.910830047
