modelo,metrica,pontual,ic_lower_95,ic_upper_95,se_bootstrap
Dollar_Bars_5m,MSE,1.0756912752563805e-07,7.994159340675288e-08,1.4420495365475896e-07,1.6703915103679322e-08
Dollar_Bars_5m,MAE,0.00027191876322644467,0.0002453122038643784,0.00029983170964719173,1.4207818343265928e-05
Dollar_Bars_5m,QLIKE,-7.02567142312773,-7.155962003581033,-6.893684491675962,0.06607305132364903
Time_Bars_5m,MSE,1.645445439034837e-07,1.3536237388603547e-07,2.003406621848269e-07,1.6624807366004726e-08
Time_Bars_5m,MAE,0.00035875243909158,0.00032866616316618935,0.00038999755453932234,1.559749912437378e-05
Time_Bars_5m,QLIKE,-6.775707619236249,-6.876577017449331,-6.66801016696618,0.05382975992492841
