fold,test_groups,arima_order,garch_order,aic,bic
1,"(0, 1, 2)","(0, 0, 0)","(1, 2)",-1192525.5153999785,-1192477.1613114392
2,"(0, 1, 3)","(0, 0, 0)","(1, 2)",-1193191.5832415337,-1193143.2537642934
3,"(0, 1, 4)","(0, 0, 0)","(1, 2)",-1185438.4938053526,-1185390.1642852048
4,"(0, 1, 5)","(0, 0, 0)","(1, 2)",-1184859.723443917,-1184811.3939237692
5,"(0, 1, 6)","(0, 0, 0)","(1, 2)",-1187356.309803907,-1187307.9802837593
6,"(0, 1, 7)","(0, 0, 0)","(1, 2)",-1191174.6339110634,-1191126.3043909157
7,"(0, 1, 8)","(0, 0, 0)","(1, 2)",-1182939.3336552915,-1182891.0041351437
8,"(0, 1, 9)","(0, 0, 0)","(1, 2)",-1179309.906653562,-1179261.5648341284
9,"(0, 2, 3)","(0, 0, 0)","(1, 2)",-1187300.241552213,-1187251.9120749726
10,"(0, 2, 4)","(0, 0, 0)","(1, 2)",-1173805.9814039543,-1173757.6766166354
11,"(0, 2, 5)","(0, 0, 0)","(1, 2)",-1173244.1233293503,-1173195.8185420313
12,"(0, 2, 6)","(0, 0, 0)","(1, 2)",-1175693.5270506165,-1175645.2222632975
13,"(0, 2, 7)","(0, 0, 0)","(1, 2)",-1179443.8867556949,-1179395.581968376
14,"(0, 2, 8)","(0, 0, 0)","(1, 2)",-1171382.4232188864,-1171334.1184315674
15,"(0, 2, 9)","(0, 0, 0)","(1, 2)",-1167935.0447806485,-1167886.727633129
16,"(0, 3, 4)","(0, 0, 0)","(1, 2)",-1185469.6220990072,-1185421.2925788595
17,"(0, 3, 5)","(0, 0, 0)","(1, 2)",-1179169.7491430875,-1179121.4443557686
18,"(0, 3, 6)","(0, 0, 0)","(1, 2)",-1181663.2712607319,-1181614.966473413
19,"(0, 3, 7)","(0, 0, 0)","(1, 2)",-1185474.4627547488,-1185426.1579674298
20,"(0, 3, 8)","(0, 0, 0)","(1, 2)",-1177249.468812229,-1177201.1640249102
21,"(0, 3, 9)","(0, 0, 0)","(1, 2)",-1173619.3316459984,-1173571.014498479
22,"(0, 4, 5)","(0, 0, 0)","(1, 2)",-1177610.1908561024,-1177561.8612930474
23,"(0, 4, 6)","(0, 0, 0)","(1, 2)",-1174040.3004918045,-1173991.9956613656
24,"(0, 4, 7)","(0, 0, 0)","(1, 2)",-1177764.820232538,-1177716.5154020991
25,"(0, 4, 8)","(0, 0, 0)","(1, 2)",-1169763.4185727055,-1169715.1137422665
26,"(0, 4, 9)","(0, 0, 0)","(1, 2)",-1166368.964840637,-1166320.6476501042
27,"(0, 5, 6)","(0, 0, 0)","(1, 2)",-1179206.92673829,-1179158.5971752352
28,"(0, 5, 7)","(0, 0, 0)","(1, 2)",-1177191.3628854305,-1177143.0580549915
29,"(0, 5, 8)","(0, 0, 0)","(1, 2)",-1169210.8303235925,-1169162.5254931536
30,"(0, 5, 9)","(0, 0, 0)","(1, 2)",-1165830.324107706,-1165782.0069171733
31,"(0, 6, 7)","(0, 0, 0)","(1, 2)",-1185420.8901112406,-1185372.5605481856
32,"(0, 6, 8)","(0, 0, 0)","(1, 2)",-1171613.895586848,-1171565.590756409
33,"(0, 6, 9)","(0, 0, 0)","(1, 2)",-1168161.8673423412,-1168113.5501518084
