fold,test_groups,arima_order,garch_order,aic,bic
34,"(0, 7, 8)","(0, 0, 0)","(1, 2)",-1181193.522407216,-1181145.192844161
35,"(0, 7, 9)","(0, 0, 0)","(1, 2)",-1171726.6906122637,-1171678.373421731
36,"(0, 8, 9)","(0, 0, 0)","(1, 2)",-1170164.850698346,-1170116.5088361106
37,"(1, 2, 3)","(0, 0, 0)","(1, 2)",-1190935.4404027716,-1190887.09862614
38,"(1, 2, 4)","(0, 0, 0)","(1, 2)",-1177404.5853782564,-1177356.268230737
39,"(1, 2, 5)","(0, 0, 0)","(1, 2)",-1176841.6382392133,-1176793.3210916938
40,"(1, 2, 6)","(0, 0, 0)","(1, 2)",-1179300.787820909,-1179252.4706733895
41,"(1, 2, 7)","(0, 0, 0)","(1, 2)",-1183065.9437966677,-1183017.6266491483
42,"(1, 2, 8)","(0, 0, 0)","(1, 2)",-1174973.5238843139,-1174925.2067367944
43,"(1, 2, 9)","(0, 0, 0)","(1, 2)",-1171505.1224113374,-1171456.7929340971
44,"(1, 3, 4)","(0, 0, 0)","(1, 2)",-1183699.0345831807,-1183650.7174356612
45,"(1, 3, 5)","(0, 0, 0)","(1, 2)",-1177397.5703229487,-1177349.2779696882
46,"(1, 3, 6)","(0, 0, 0)","(1, 2)",-1179905.1302120888,-1179856.8378588283
47,"(1, 3, 7)","(0, 0, 0)","(1, 2)",-1183737.5642897899,-1183689.2719365293
48,"(1, 3, 8)","(0, 0, 0)","(1, 2)",-1175466.1858261744,-1175417.893472914
49,"(1, 3, 9)","(0, 0, 0)","(1, 2)",-1171801.1879661882,-1171752.8832219895
50,"(1, 4, 5)","(0, 0, 0)","(1, 2)",-1175793.7830326513,-1175745.4658421185
51,"(1, 4, 6)","(0, 0, 0)","(1, 2)",-1172236.399445418,-1172188.1070489301
52,"(1, 4, 7)","(0, 0, 0)","(1, 2)",-1175981.7609133073,-1175933.4685168194
53,"(1, 4, 8)","(0, 0, 0)","(1, 2)",-1167935.4529439658,-1167887.160547478
54,"(1, 4, 9)","(0, 0, 0)","(1, 2)",-1164508.3058316407,-1164460.0010443218
55,"(1, 5, 6)","(0, 0, 0)","(1, 2)",-1177400.1985601874,-1177351.8813696546
56,"(1, 5, 7)","(0, 0, 0)","(1, 2)",-1175406.0593421457,-1175357.7669456578
57,"(1, 5, 8)","(0, 0, 0)","(1, 2)",-1167380.7638065775,-1167332.4714100896
58,"(1, 5, 9)","(0, 0, 0)","(1, 2)",-1163967.6685634004,-1163919.3637760815
59,"(1, 6, 7)","(0, 0, 0)","(1, 2)",-1183648.935347026,-1183600.6181564932
60,"(1, 6, 8)","(0, 0, 0)","(1, 2)",-1169797.217216704,-1169748.9248202161
61,"(1, 6, 9)","(0, 0, 0)","(1, 2)",-1166311.9453360115,-1166263.6405486926
62,"(1, 7, 8)","(0, 0, 0)","(1, 2)",-1179397.7537097302,-1179349.4365191974
63,"(1, 7, 9)","(0, 0, 0)","(1, 2)",-1169896.2458268427,-1169847.9410395238
64,"(1, 8, 9)","(0, 0, 0)","(1, 2)",-1168294.3097478116,-1168245.9802276639
65,"(2, 3, 4)","(0, 0, 0)","(1, 2)",-1183352.8402047472,-1183304.4983853134
66,"(2, 3, 5)","(0, 0, 0)","(1, 2)",-1177066.8192414888,-1177018.5020939694
67,"(2, 3, 6)","(0, 0, 0)","(1, 2)",-1179524.2243463139,-1179475.9071987944
68,"(2, 3, 7)","(0, 0, 0)","(1, 2)",-1183284.7356798893,-1183236.41853237
69,"(2, 3, 8)","(0, 0, 0)","(1, 2)",-1175197.6387045064,-1175149.321556987
70,"(2, 3, 9)","(0, 0, 0)","(1, 2)",-1171724.6265382608,-1171676.2970610205
71,"(2, 4, 5)","(0, 0, 0)","(1, 2)",-1169746.107257738,-1169697.7900672052
72,"(2, 4, 6)","(0, 0, 0)","(1, 2)",-1166138.8698276642,-1166090.5774311763
73,"(2, 4, 7)","(0, 0, 0)","(1, 2)",-1169803.5658131402,-1169755.2734166523
74,"(2, 4, 8)","(0, 0, 0)","(1, 2)",-1161953.7777488104,-1161905.4853523225
75,"(2, 4, 9)","(0, 0, 0)","(1, 2)",-1158717.655230836,-1158669.350443517
76,"(2, 5, 6)","(0, 0, 0)","(1, 2)",-1171322.5030317293,-1171274.1858411964
77,"(2, 5, 7)","(0, 0, 0)","(1, 2)",-1169245.840478073,-1169197.5480815852
78,"(2, 5, 8)","(0, 0, 0)","(1, 2)",-1161416.2022084524,-1161367.9098119645
79,"(2, 5, 9)","(0, 0, 0)","(1, 2)",-1158193.4688306605,-1158145.1640433415
80,"(2, 6, 7)","(0, 0, 0)","(1, 2)",-1177440.7038135482,-1177392.3866230154
81,"(2, 6, 8)","(0, 0, 0)","(1, 2)",-1163779.247780617,-1163730.9553841292
82,"(2, 6, 9)","(0, 0, 0)","(1, 2)",-1160485.9511091777,-1160437.6463218587
83,"(2, 7, 8)","(0, 0, 0)","(1, 2)",-1173299.4969072347,-1173251.1797167019
84,"(2, 7, 9)","(0, 0, 0)","(1, 2)",-1163992.5531219004,-1163944.2483345815
85,"(2, 8, 9)","(0, 0, 0)","(1, 2)",-1162568.4176592196,-1162520.0881390718
86,"(3, 4, 5)","(0, 0, 0)","(1, 2)",-1181291.3154220758,-1181242.9735598403
87,"(3, 4, 6)","(0, 0, 0)","(1, 2)",-1177728.6652456825,-1177680.3480551497
88,"(3, 4, 7)","(0, 0, 0)","(1, 2)",-1181461.253596012,-1181412.9364054792
89,"(3, 4, 8)","(0, 0, 0)","(1, 2)",-1173439.17870847,-1173390.8615179372
90,"(3, 4, 9)","(0, 0, 0)","(1, 2)",-1170023.7371581164,-1169975.4076379687
91,"(3, 5, 6)","(0, 0, 0)","(1, 2)",-1177169.5546872604,-1177121.2374967276
92,"(3, 5, 7)","(0, 0, 0)","(1, 2)",-1175164.725652606,-1175116.433256118
93,"(3, 5, 8)","(0, 0, 0)","(1, 2)",-1167159.1674871368,-1167110.875090649
94,"(3, 5, 9)","(0, 0, 0)","(1, 2)",-1163755.4945410676,-1163707.1897537487
95,"(3, 6, 7)","(0, 0, 0)","(1, 2)",-1183401.2389528537,-1183352.921762321
96,"(3, 6, 8)","(0, 0, 0)","(1, 2)",-1169570.10287206,-1169521.810475572
97,"(3, 6, 9)","(0, 0, 0)","(1, 2)",-1166094.6193292553,-1166046.3145419364
98,"(3, 7, 8)","(0, 0, 0)","(1, 2)",-1179159.9205813897,-1179111.6033908569
99,"(3, 7, 9)","(0, 0, 0)","(1, 2)",-1169669.2927691378,-1169620.9879818188
100,"(3, 8, 9)","(0, 0, 0)","(1, 2)",-1168084.782727209,-1168036.4532070612
101,"(4, 5, 6)","(0, 0, 0)","(1, 2)",-1175718.5472024237,-1175670.2052973867
102,"(4, 5, 7)","(0, 0, 0)","(1, 2)",-1173618.1265049854,-1173569.8092714392
103,"(4, 5, 8)","(0, 0, 0)","(1, 2)",-1165841.3381159347,-1165793.0208823886
104,"(4, 5, 9)","(0, 0, 0)","(1, 2)",-1162661.9393732103,-1162613.6098101554
105,"(4, 6, 7)","(0, 0, 0)","(1, 2)",-1175794.8670847884,-1175746.5498512422
106,"(4, 6, 8)","(0, 0, 0)","(1, 2)",-1162192.8916242835,-1162144.5991845687
107,"(4, 6, 9)","(0, 0, 0)","(1, 2)",-1158951.3244504055,-1158903.0196199666
108,"(4, 7, 8)","(0, 0, 0)","(1, 2)",-1171686.5379347114,-1171638.2207011653
109,"(4, 7, 9)","(0, 0, 0)","(1, 2)",-1162432.8887032478,-1162384.5838728088
110,"(4, 8, 9)","(0, 0, 0)","(1, 2)",-1161062.7740194728,-1161014.4444564178
111,"(5, 6, 7)","(0, 0, 0)","(1, 2)",-1180965.612980349,-1180917.271075312
112,"(5, 6, 8)","(0, 0, 0)","(1, 2)",-1167386.703308883,-1167338.3860753367
113,"(5, 6, 9)","(0, 0, 0)","(1, 2)",-1164159.4496229591,-1164111.1200599042
114,"(5, 7, 8)","(0, 0, 0)","(1, 2)",-1171137.640898506,-1171089.3236649598
115,"(5, 7, 9)","(0, 0, 0)","(1, 2)",-1161898.161351765,-1161849.8565213261
116,"(5, 8, 9)","(0, 0, 0)","(1, 2)",-1160546.147274965,-1160497.81771191
117,"(6, 7, 8)","(0, 0, 0)","(1, 2)",-1179289.180971101,-1179240.839066064
118,"(6, 7, 9)","(0, 0, 0)","(1, 2)",-1169978.355383716,-1169930.025820661
119,"(6, 8, 9)","(0, 0, 0)","(1, 2)",-1162799.333476569,-1162751.003913514
120,"(7, 8, 9)","(0, 0, 0)","(1, 2)",-1172139.3843320583,-1172091.0301581256
