fold,test_groups,arima_order,garch_order,aic,bic
65,"(2, 3, 4)","(0, 0, 0)","(1, 1)",-1210729.697084783,-1210691.0065790722
66,"(2, 3, 5)","(0, 0, 0)","(1, 1)",-1210180.684554561,-1210142.013702222
67,"(2, 3, 6)","(0, 0, 0)","(1, 1)",-1211704.656415102,-1211665.985562763
68,"(2, 3, 7)","(0, 0, 0)","(1, 1)",-1213385.2269407646,-1213346.5560541619
69,"(2, 3, 8)","(0, 0, 0)","(1, 1)",-1200172.3774826142,-1200133.7065960115
70,"(2, 3, 9)","(0, 0, 0)","(1, 1)",-1201092.835439788,-1201054.1547316026
71,"(2, 4, 5)","(0, 0, 0)","(1, 1)",-1201456.8379341408,-1201418.1670818017
72,"(2, 4, 6)","(0, 0, 0)","(1, 1)",-1196423.623646953,-1196384.9725450263
73,"(2, 4, 7)","(0, 0, 0)","(1, 1)",-1198079.4520296084,-1198040.8008932485
74,"(2, 4, 8)","(0, 0, 0)","(1, 1)",-1185456.5996250373,-1185417.9484886774
75,"(2, 4, 9)","(0, 0, 0)","(1, 1)",-1186488.6254177487,-1186449.9644112517
76,"(2, 5, 6)","(0, 0, 0)","(1, 1)",-1207626.354881615,-1207587.6840292758
77,"(2, 5, 7)","(0, 0, 0)","(1, 1)",-1203430.7293347763,-1203392.0781984164
78,"(2, 5, 8)","(0, 0, 0)","(1, 1)",-1190480.2571808859,-1190441.606044526
79,"(2, 5, 9)","(0, 0, 0)","(1, 1)",-1191455.5980228202,-1191416.9370163232
80,"(2, 6, 7)","(0, 0, 0)","(1, 1)",-1210863.5071436546,-1210824.836257052
81,"(2, 6, 8)","(0, 0, 0)","(1, 1)",-1191883.6711601852,-1191845.0200238253
82,"(2, 6, 9)","(0, 0, 0)","(1, 1)",-1192838.9004565512,-1192800.2394500542
83,"(2, 7, 8)","(0, 0, 0)","(1, 1)",-1199582.1061974326,-1199543.4352765663
84,"(2, 7, 9)","(0, 0, 0)","(1, 1)",-1194451.4963434187,-1194412.8353025736
85,"(2, 8, 9)","(0, 0, 0)","(1, 1)",-1188466.0726480414,-1188427.3919056768
86,"(3, 4, 5)","(0, 0, 0)","(1, 1)",-1217354.0545211444,-1217315.3640154335
87,"(3, 4, 6)","(0, 0, 0)","(1, 1)",-1212368.9368894023,-1212330.2660370632
88,"(3, 4, 7)","(0, 0, 0)","(1, 1)",-1214044.0732054606,-1214005.4023188578
89,"(3, 4, 8)","(0, 0, 0)","(1, 1)",-1200809.790057672,-1200771.1191710692
90,"(3, 4, 9)","(0, 0, 0)","(1, 1)",-1201722.3435595487,-1201683.6628513634
91,"(3, 5, 6)","(0, 0, 0)","(1, 1)",-1217899.7760177855,-1217861.1051654464
92,"(3, 5, 7)","(0, 0, 0)","(1, 1)",-1213728.3594246265,-1213689.7082882666
93,"(3, 5, 8)","(0, 0, 0)","(1, 1)",-1200145.1540678458,-1200106.502931486
94,"(3, 5, 9)","(0, 0, 0)","(1, 1)",-1200994.930188623,-1200956.269182126
95,"(3, 6, 7)","(0, 0, 0)","(1, 1)",-1221238.374899035,-1221199.7040124324
96,"(3, 6, 8)","(0, 0, 0)","(1, 1)",-1201626.9909688353,-1201588.3398324754
97,"(3, 6, 9)","(0, 0, 0)","(1, 1)",-1202454.0344424017,-1202415.3734359047
98,"(3, 7, 8)","(0, 0, 0)","(1, 1)",-1209352.0659807068,-1209313.3950598405
99,"(3, 7, 9)","(0, 0, 0)","(1, 1)",-1204088.1277770826,-1204049.4667362375
100,"(3, 8, 9)","(0, 0, 0)","(1, 1)",-1197542.5802126967,-1197503.899470332
101,"(4, 5, 6)","(0, 0, 0)","(1, 1)",-1214673.3157826813,-1214634.6252769704
102,"(4, 5, 7)","(0, 0, 0)","(1, 1)",-1210477.475902734,-1210438.8050161314
103,"(4, 5, 8)","(0, 0, 0)","(1, 1)",-1197470.544096062,-1197431.8732094592
104,"(4, 5, 9)","(0, 0, 0)","(1, 1)",-1198432.4570010973,-1198393.776292912
105,"(4, 6, 7)","(0, 0, 0)","(1, 1)",-1211403.8625020012,-1211365.1916153985
106,"(4, 6, 8)","(0, 0, 0)","(1, 1)",-1192410.4017552398,-1192371.75061888
107,"(4, 6, 9)","(0, 0, 0)","(1, 1)",-1193358.9663719763,-1193320.3053654793
108,"(4, 7, 8)","(0, 0, 0)","(1, 1)",-1200104.5777945055,-1200065.9068736392
109,"(4, 7, 9)","(0, 0, 0)","(1, 1)",-1194967.4662314663,-1194928.8051906212
110,"(4, 8, 9)","(0, 0, 0)","(1, 1)",-1188967.630289616,-1188928.9495472515
111,"(5, 6, 7)","(0, 0, 0)","(1, 1)",-1222822.330758723,-1222783.6402189163
112,"(5, 6, 8)","(0, 0, 0)","(1, 1)",-1203497.911967205,-1203459.2410806022
113,"(5, 6, 9)","(0, 0, 0)","(1, 1)",-1204385.4923685149,-1204346.8116603296
114,"(5, 7, 8)","(0, 0, 0)","(1, 1)",-1205341.9823787857,-1205303.3114579194
115,"(5, 7, 9)","(0, 0, 0)","(1, 1)",-1200139.8770768698,-1200101.2160360247
116,"(5, 8, 9)","(0, 0, 0)","(1, 1)",-1193840.6858910336,-1193802.005148669
117,"(6, 7, 8)","(0, 0, 0)","(1, 1)",-1212732.6938583641,-1212694.003284462
118,"(6, 7, 9)","(0, 0, 0)","(1, 1)",-1207508.3024180739,-1207469.6216757093
119,"(6, 8, 9)","(0, 0, 0)","(1, 1)",-1195189.2010795008,-1195150.5203371362
120,"(7, 8, 9)","(0, 0, 0)","(1, 1)",-1202836.7603487081,-1202798.059967374
