model,mse,mae,qlike,r_squared,mz_alpha,mz_beta,mz_alpha_pvalue,mz_beta_pvalue
Dollar_Bars_5m,1.0760722974343432e-07,0.0002725004553483644,-7.025575579493002,0.6538811195237578,-0.00010637145106200559,0.8569469546525267,0.0025618845104664538,8.766124835408664e-41
Time_Bars_5m,1.6498912017197716e-07,0.0003597498182749457,-6.342457147120278,0.4897369364380717,-0.0002481393405014049,1.0234906096470546,0.00015273620068283916,6.131604764429194e-23
