modelo,metrica,pontual,ic_lower_95,ic_upper_95,se_bootstrap,n_dias_comuns
Dollar_Bars_5m,MSE,1.0495039967808539e-07,7.340485636063797e-08,1.4929234958379714e-07,1.9267228323362828e-08,147
Dollar_Bars_5m,MAE,0.00026373878982945234,0.00023449795355383758,0.0002970375385638397,1.5906164330719778e-05,147
Dollar_Bars_5m,QLIKE,-6.992787645140333,-7.136562415985155,-6.845445605948657,0.07476558299140137,147
Time_Bars_5m,MSE,1.645445439034837e-07,1.3536237388603547e-07,2.003406621848269e-07,1.6624807366004726e-08,147
Time_Bars_5m,MAE,0.00035875243909158,0.00032866616316618935,0.00038999755453932234,1.559749912437378e-05,147
Time_Bars_5m,QLIKE,-6.775707619236249,-6.876577017449331,-6.66801016696618,0.05382975992492841,147
