modelo,metrica,pontual_cv,ic_lower_95,ic_upper_95,se_bootstrap,n_folds,metodo_bootstrap
Dollar_Bars_5m,MSE,2.465100286962337e-07,2.402873687408523e-07,2.529813835034275e-07,3.3400755149612014e-09,252,fold-level iid
Dollar_Bars_5m,MAE,0.00031719067339959706,0.0003140646209515301,0.0003202738958025,1.6127094952403874e-06,252,fold-level iid
Dollar_Bars_5m,QLIKE,-6.645642160995465,-6.659348477458883,-6.631548496366217,0.0071042530847955304,252,fold-level iid
Time_Bars_5m,MSE,3.693523035713405e-07,3.6064089507414534e-07,3.7822529807575043e-07,4.6595665267972505e-09,252,fold-level iid
Time_Bars_5m,MAE,0.0004083200038969757,0.00040580954439403173,0.00041093329409638005,1.2872846341480615e-06,252,fold-level iid
Time_Bars_5m,QLIKE,-6.54084897307263,-6.548590072241493,-6.53310783685961,0.003914274863408147,252,fold-level iid
